"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 26 15:31:00 ICT 2023","Tue Sep 26 15:31:17 ICT 2023","17327","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 48",""
"passed","Tue Sep 26 13:54:55 ICT 2023","Tue Sep 26 13:55:10 ICT 2023","14683","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 60",""
"passed","Tue Sep 26 12:57:54 ICT 2023","Tue Sep 26 12:58:09 ICT 2023","14913","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 79",""
"passed","Tue Sep 26 15:31:17 ICT 2023","Tue Sep 26 15:31:32 ICT 2023","15582","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 49",""
"passed","Mon Oct 09 15:07:38 ICT 2023","Mon Oct 09 15:07:58 ICT 2023","19646","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 54",""
"passed","Fri Aug 25 09:56:39 ICT 2023","Fri Aug 25 09:56:58 ICT 2023","19251","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 48",""
"broken","Fri Aug 25 07:44:00 ICT 2023","Fri Aug 25 07:44:00 ICT 2023","32","","My Bosv2 application","","","","insert data 79",""
"passed","Tue Sep 05 00:30:20 ICT 2023","Tue Sep 05 00:30:38 ICT 2023","17447","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 23",""
"passed","Tue Sep 26 12:45:46 ICT 2023","Tue Sep 26 12:46:05 ICT 2023","18619","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 38",""
"passed","Mon Aug 28 09:42:22 ICT 2023","Mon Aug 28 09:42:43 ICT 2023","21096","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 12",""
"passed","Tue Sep 26 12:04:30 ICT 2023","Tue Sep 26 12:04:49 ICT 2023","18750","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 29",""
"passed","Tue Sep 26 13:27:35 ICT 2023","Tue Sep 26 13:27:56 ICT 2023","20597","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 61",""
"passed","Tue Sep 26 12:50:39 ICT 2023","Tue Sep 26 12:51:23 ICT 2023","44905","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 56",""
"passed","Tue Sep 26 15:22:14 ICT 2023","Tue Sep 26 15:22:29 ICT 2023","15186","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 15",""
"broken","Mon Oct 09 14:49:39 ICT 2023","Mon Oct 09 14:49:39 ICT 2023","10","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 54",""
"passed","Tue Sep 26 15:20:09 ICT 2023","Tue Sep 26 15:20:24 ICT 2023","14779","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 7",""
"broken","Fri Aug 25 08:10:19 ICT 2023","Fri Aug 25 08:10:37 ICT 2023","17548","","My Bosv2 application","","","","insert data 47",""
"passed","Mon Oct 09 14:07:43 ICT 2023","Mon Oct 09 14:08:00 ICT 2023","17153","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 9",""
"passed","Tue Sep 26 12:22:46 ICT 2023","Tue Sep 26 12:23:03 ICT 2023","17198","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 89",""
"passed","Mon Oct 09 12:34:22 ICT 2023","Mon Oct 09 12:34:38 ICT 2023","16330","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 44",""
"passed","Tue Sep 05 00:32:40 ICT 2023","Tue Sep 05 00:32:57 ICT 2023","16330","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 3",""
"passed","Mon Sep 04 23:49:14 ICT 2023","Mon Sep 04 23:49:33 ICT 2023","19292","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 19",""
"passed","Tue Sep 26 12:01:30 ICT 2023","Tue Sep 26 12:01:47 ICT 2023","16591","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 19",""
"broken","Fri Aug 25 07:43:59 ICT 2023","Fri Aug 25 07:43:59 ICT 2023","32","","My Bosv2 application","","","","insert data 65",""
"passed","Mon Aug 28 09:41:42 ICT 2023","Mon Aug 28 09:42:03 ICT 2023","21467","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 10",""
"broken","Fri Aug 25 08:17:03 ICT 2023","Fri Aug 25 08:17:54 ICT 2023","51166","","My Bosv2 application","","","","insert data 60",""
"broken","Tue Sep 26 11:54:00 ICT 2023","Tue Sep 26 11:54:00 ICT 2023","123","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 16",""
"broken","Fri Aug 25 07:44:00 ICT 2023","Fri Aug 25 07:44:00 ICT 2023","30","","My Bosv2 application","","","","insert data 77",""
"passed","Mon Oct 09 14:06:55 ICT 2023","Mon Oct 09 14:07:11 ICT 2023","16054","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 6",""
"broken","Fri Aug 25 09:23:12 ICT 2023","Fri Aug 25 09:23:12 ICT 2023","36","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 50",""
"passed","Tue Sep 26 12:36:58 ICT 2023","Tue Sep 26 12:37:17 ICT 2023","18818","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 6",""
"passed","Tue Sep 26 13:21:58 ICT 2023","Tue Sep 26 13:22:14 ICT 2023","15783","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 40",""
"passed","Mon Oct 09 14:07:11 ICT 2023","Mon Oct 09 14:07:26 ICT 2023","15099","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 7",""
"passed","Mon Aug 28 01:45:55 ICT 2023","Mon Aug 28 01:46:12 ICT 2023","16529","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 28",""
"broken","Tue Sep 05 00:38:45 ICT 2023","Tue Sep 05 00:39:06 ICT 2023","21423","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 21",""
"broken","Mon Oct 09 14:49:38 ICT 2023","Mon Oct 09 14:49:38 ICT 2023","9","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 29",""
"passed","Tue Sep 26 13:21:12 ICT 2023","Tue Sep 26 13:21:26 ICT 2023","14756","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 37",""
"passed","Tue Sep 05 00:24:06 ICT 2023","Tue Sep 05 00:24:11 ICT 2023","4732","","My Bosv2 applicationRajadesaSukaharja","","","","Open the browser",""
"passed","Tue Sep 26 15:20:58 ICT 2023","Tue Sep 26 15:21:15 ICT 2023","16950","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 10",""
"passed","Mon Oct 09 14:15:12 ICT 2023","Mon Oct 09 14:15:30 ICT 2023","18393","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 36",""
"passed","Tue Sep 26 15:19:38 ICT 2023","Tue Sep 26 15:19:53 ICT 2023","15177","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 5",""
"passed","Fri Aug 25 10:56:06 ICT 2023","Fri Aug 25 10:56:24 ICT 2023","18172","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 46",""
"passed","Tue Sep 26 15:24:02 ICT 2023","Tue Sep 26 15:24:17 ICT 2023","14881","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 22",""
"passed","Fri Aug 25 10:57:52 ICT 2023","Fri Aug 25 10:58:06 ICT 2023","14091","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 52",""
"passed","Tue Sep 26 15:38:58 ICT 2023","Tue Sep 26 15:39:12 ICT 2023","14692","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 77",""
"passed","Tue Sep 26 15:40:03 ICT 2023","Tue Sep 26 15:40:20 ICT 2023","16753","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 81",""
"passed","Mon Aug 28 03:23:51 ICT 2023","Mon Aug 28 03:24:10 ICT 2023","19028","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 9",""
"broken","Fri Aug 25 08:10:54 ICT 2023","Fri Aug 25 08:11:12 ICT 2023","17656","","My Bosv2 application","","","","insert data 49",""
"passed","Mon Oct 09 12:50:40 ICT 2023","Mon Oct 09 12:50:57 ICT 2023","16950","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 6",""
"passed","Mon Oct 09 14:47:50 ICT 2023","Mon Oct 09 14:49:33 ICT 2023","102628","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 17",""
"passed","Mon Oct 09 13:33:02 ICT 2023","Mon Oct 09 13:33:20 ICT 2023","18799","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 13",""
"passed","Tue Sep 26 13:28:30 ICT 2023","Tue Sep 26 13:29:11 ICT 2023","41137","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 64",""
"passed","Mon Sep 04 23:48:22 ICT 2023","Mon Sep 04 23:48:39 ICT 2023","17052","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 16",""
"passed","Tue Sep 26 12:01:47 ICT 2023","Tue Sep 26 12:02:05 ICT 2023","18295","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 20",""
"passed","Mon Oct 09 14:54:41 ICT 2023","Mon Oct 09 14:54:59 ICT 2023","17297","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 12",""
"passed","Fri Aug 25 12:13:05 ICT 2023","Fri Aug 25 12:13:21 ICT 2023","16153","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 24",""
"passed","Tue Sep 26 11:59:44 ICT 2023","Tue Sep 26 12:00:02 ICT 2023","17497","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 13",""
"passed","Mon Aug 28 02:58:42 ICT 2023","Mon Aug 28 02:58:58 ICT 2023","16099","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 22",""
"broken","Mon Oct 09 14:49:39 ICT 2023","Mon Oct 09 14:49:39 ICT 2023","8","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 42",""
"broken","Fri Aug 25 07:43:59 ICT 2023","Fri Aug 25 07:43:59 ICT 2023","27","","My Bosv2 application","","","","insert data 63",""
"passed","Fri Aug 25 08:06:03 ICT 2023","Fri Aug 25 08:06:21 ICT 2023","18438","","My Bosv2 application","","","","insert data 34",""
"broken","Fri Aug 25 07:43:59 ICT 2023","Fri Aug 25 07:43:59 ICT 2023","32","","My Bosv2 application","","","","insert data 69",""
"passed","Tue Sep 26 13:19:47 ICT 2023","Tue Sep 26 13:20:03 ICT 2023","16314","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 32",""
"passed","Fri Aug 25 10:52:07 ICT 2023","Fri Aug 25 10:52:27 ICT 2023","19721","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 33",""
"passed","Tue Sep 26 12:39:22 ICT 2023","Tue Sep 26 12:39:39 ICT 2023","16909","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 15",""
"passed","Mon Oct 09 15:00:53 ICT 2023","Mon Oct 09 15:01:11 ICT 2023","18279","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 32",""
"passed","Mon Oct 09 13:43:58 ICT 2023","Mon Oct 09 13:44:19 ICT 2023","20881","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 44",""
"passed","Fri Aug 25 12:10:21 ICT 2023","Fri Aug 25 12:10:39 ICT 2023","18621","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 15",""
"passed","Tue Sep 05 00:24:32 ICT 2023","Tue Sep 05 00:24:50 ICT 2023","18127","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 3",""
"passed","Tue Sep 05 00:09:47 ICT 2023","Tue Sep 05 00:10:04 ICT 2023","17010","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 16",""
"passed","Mon Oct 09 12:37:15 ICT 2023","Mon Oct 09 12:37:30 ICT 2023","15006","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 55",""
"passed","Fri Aug 25 12:06:31 ICT 2023","Fri Aug 25 12:06:50 ICT 2023","18716","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 2",""
"passed","Tue Sep 26 12:46:05 ICT 2023","Tue Sep 26 12:46:20 ICT 2023","14557","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 39",""
"passed","Mon Oct 09 14:53:04 ICT 2023","Mon Oct 09 14:53:22 ICT 2023","18724","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 7",""
"passed","Sat Sep 09 06:50:23 ICT 2023","Sat Sep 09 06:50:42 ICT 2023","19393","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 3",""
"passed","Tue Sep 26 12:08:19 ICT 2023","Tue Sep 26 12:08:36 ICT 2023","16411","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 42",""
"broken","Fri Aug 25 07:44:00 ICT 2023","Fri Aug 25 07:44:00 ICT 2023","30","","My Bosv2 application","","","","insert data 81",""
"passed","Tue Sep 26 11:56:37 ICT 2023","Tue Sep 26 11:56:55 ICT 2023","17917","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 3",""
"passed","Tue Sep 05 00:36:12 ICT 2023","Tue Sep 05 00:36:30 ICT 2023","17913","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 13",""
"passed","Mon Aug 28 09:42:03 ICT 2023","Mon Aug 28 09:42:22 ICT 2023","18877","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 11",""
"passed","Sat Sep 09 06:22:00 ICT 2023","Sat Sep 09 06:22:17 ICT 2023","16598","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 6",""
"passed","Fri Aug 25 07:56:12 ICT 2023","Fri Aug 25 07:56:32 ICT 2023","19298","","My Bosv2 application","","","","insert data 6",""
"passed","Mon Oct 09 14:10:41 ICT 2023","Mon Oct 09 14:10:58 ICT 2023","16997","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 20",""
"passed","Fri Aug 25 10:53:43 ICT 2023","Fri Aug 25 10:54:01 ICT 2023","18150","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 38",""
"passed","Fri Aug 25 09:59:42 ICT 2023","Fri Aug 25 09:59:58 ICT 2023","15576","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 59",""
"passed","Mon Oct 09 13:43:16 ICT 2023","Mon Oct 09 13:43:38 ICT 2023","21557","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 42",""
"broken","Fri Aug 25 08:09:44 ICT 2023","Fri Aug 25 08:10:02 ICT 2023","18040","","My Bosv2 application","","","","insert data 45",""
